CustomerID,Name,Email,Age,Gender,Location,CustomerSegment,TotalSpend,NumberOfPurchases,FavoriteCategory,LastLoginDate,IsChurned,SupportTickets
26174f96-6999-428e-85f7-b13631bfcaea,Denise Moran,rprice@stewart.com,56,Other,New Caitlin,Budget,929.43,8,Health,2024-12-16,0,3
98188792-9610-421b-9233-5822355a965e,Amy Lewis,mariastuart@gmail.com,69,Male,Natashafort,Standard,401.71,12,Books,2024-11-14,0,1
05612f67-66bf-4331-b482-e19873bb6f5c,Eddie Perez,rwilson@rowe-bowman.com,46,Male,Port Garrett,Budget,242.47,7,Health,2025-01-28,1,1
118c97bc-2696-4861-84f5-d13114efbe6e,Ricky Taylor,heathermorgan@yahoo.com,32,Other,West Angelica,Standard,283.81,6,Health,2025-03-18,1,0
6526e239-41a2-4011-baf2-4542a760c55a,Katherine Peters,jeffbooth@taylor-torres.org,60,Female,Darrenport,Budget,163.21,10,Health,2025-04-01,0,1
4f8aac55-05c4-4209-b008-35efd3850a5e,Jason Reyes,meganburke@coleman.com,25,Male,Nelsonmouth,Budget,85.4,15,Fashion,2025-03-10,1,2
33f6b4f9-a844-44fe-9b60-e1172d5d294e,Lisa Wright,qlambert@castro-long.com,38,Male,Williamsborough,Standard,132.0,11,Health,2024-11-26,1,2
0a4f36af-f8fb-4b0d-bd1b-c09093687f09,Andrew Bauer,michaelbyrd@yahoo.com,56,Male,East Shawnborough,Standard,425.45,6,Books,2025-04-05,1,0
923811a3-8e99-4f46-8237-2d3c6730a1bb,Roy Hughes,rmorales@peters-chen.info,36,Other,South Troybury,Standard,4.35,10,Books,2025-01-24,1,0
7162e406-3b5b-4f41-a343-abe72c23dc33,Cindy Wong,jgibson@hotmail.com,40,Male,West Nicolas,Budget,37.01,7,Books,2024-11-24,1,1
601ffc5e-fddb-48bd-b321-6a11b2b89e3f,Cindy Johnson,johnwilliams@gomez.com,28,Other,Port Martha,Budget,14.13,11,Groceries,2025-03-05,0,5
68f5d44f-31cf-4d67-a433-5121f3664b5a,Melissa Brooks,frysarah@bush-browning.net,28,Other,Danielstad,Budget,12.47,13,Health,2024-12-18,1,3
2aaaa905-260b-4b7d-9cef-9097437fbb29,Raven Cobb DVM,bakerkimberly@jones.info,41,Other,Butlerchester,Premium,580.26,10,Books,2025-03-10,1,1
3ae12c43-dce0-426b-9d80-e2d940fb82ff,John Smith,bturner@smith-carter.com,53,Male,North Jonathan,Budget,364.87,9,Groceries,2024-12-24,1,2
6ce5a0cc-6e87-480f-923c-9002ad438d8d,Kristen Hernandez,carlagordon@gmail.com,57,Other,Jameston,Standard,192.84,6,Health,2025-02-23,1,1
f8ed729e-0c01-4b61-8f08-f59d311da060,Brittany Cordova,millertraci@harris.info,41,Female,Lake Stevenborough,Standard,30.89,9,Health,2024-11-04,1,1
bdf799a9-f3c3-4e74-ac50-d69dfe27e7af,Stephen Shields,millererika@hotmail.com,20,Male,New Anthony,Standard,202.96,11,Electronics,2025-01-06,0,2
bc103e3d-77f2-4f77-ac11-dac9661d6974,Heather Moore,david54@tyler-chandler.info,39,Male,Markborough,Budget,192.44,12,Health,2025-02-18,1,3
899370cc-3470-4c77-a3d2-768382694b3b,Madison Hale,opatel@smith-johnson.com,19,Male,North Jade,Standard,57.06,7,Electronics,2024-10-12,0,1
29c7360f-bb20-4800-abfe-fbcd7ee5b546,Erin Freeman,james17@hotmail.com,41,Male,Port Catherine,Standard,170.67,13,Fashion,2025-02-17,0,2
dd055238-973c-48ab-aba2-85a5bf5cb0e5,David Pierce MD,zcooper@hotmail.com,61,Male,Steinburgh,Premium,152.5,11,Fashion,2025-03-25,0,2
13813558-eec5-4fbc-86e3-2598fa8c908d,Christine Kennedy,hdavis@coffey.com,47,Other,New Louishaven,Premium,287.02,5,Groceries,2025-03-03,0,0
c947eaba-b538-413c-93a7-3b0314193383,Philip Simpson,robertblanchard@kane-powell.com,55,Other,Christophermouth,Standard,302.43,14,Electronics,2024-12-17,1,2
228f4723-ba5f-44be-91c6-f6cb5414e62a,Kim Chen,hannahadams@hotmail.com,19,Male,South Johnbury,Premium,13.91,12,Fashion,2025-02-27,0,1
8840c89d-05d6-4e35-a490-546031a6a1ee,James Mason,yjones@hotmail.com,38,Other,Wyattton,Premium,140.82,8,Fashion,2025-03-23,1,1
